,tokenized_sentences,len,word_tokens,lower,no_punc,stopwords_removed,pos_tags
10,"But the
other is the elder daughter of dark Night, and the son of Cronos who
sits above and dwells in the aether, set her in the roots of the earth:
and she is far kinder to men.",178,"['But', 'the', 'other', 'is', 'the', 'elder', 'daughter', 'of', 'dark', 'Night', ',', 'and', 'the', 'son', 'of', 'Cronos', 'who', 'sits', 'above', 'and', 'dwells', 'in', 'the', 'aether', ',', 'set', 'her', 'in', 'the', 'roots', 'of', 'the', 'earth', ':', 'and', 'she', 'is', 'far', 'kinder', 'to', 'men', '.']","['but', 'the', 'other', 'is', 'the', 'elder', 'daughter', 'of', 'dark', 'night', ',', 'and', 'the', 'son', 'of', 'cronos', 'who', 'sits', 'above', 'and', 'dwells', 'in', 'the', 'aether', ',', 'set', 'her', 'in', 'the', 'roots', 'of', 'the', 'earth', ':', 'and', 'she', 'is', 'far', 'kinder', 'to', 'men', '.']","['but', 'the', 'other', 'is', 'the', 'elder', 'daughter', 'of', 'dark', 'night', 'and', 'the', 'son', 'of', 'cronos', 'who', 'sits', 'above', 'and', 'dwells', 'in', 'the', 'aether', 'set', 'her', 'in', 'the', 'roots', 'of', 'the', 'earth', 'and', 'she', 'is', 'far', 'kinder', 'to', 'men']","['elder', 'daughter', 'dark', 'night', 'son', 'cronos', 'sits', 'dwells', 'aether', 'set', 'roots', 'earth', 'far', 'kinder', 'men']","[('elder', 'NN'), ('daughter', 'NN'), ('dark', 'NN'), ('night', 'NN'), ('son', 'NN'), ('cronos', 'VBD'), ('sits', 'NNS'), ('dwells', 'NNS'), ('aether', 'RB'), ('set', 'VBD'), ('roots', 'NNS'), ('earth', 'NN'), ('far', 'RB'), ('kinder', 'JJR'), ('men', 'NNS')]"
11,"She stirs up even the shiftless to toil;
for a man grows eager to work when he considers his neighbour, a rich
man who hastens to plough and plant and put his house in good order;
and neighbour vies with his neighbour as he hurries after wealth.",245,"['She', 'stirs', 'up', 'even', 'the', 'shiftless', 'to', 'toil', ';', 'for', 'a', 'man', 'grows', 'eager', 'to', 'work', 'when', 'he', 'considers', 'his', 'neighbour', ',', 'a', 'rich', 'man', 'who', 'hastens', 'to', 'plough', 'and', 'plant', 'and', 'put', 'his', 'house', 'in', 'good', 'order', ';', 'and', 'neighbour', 'vies', 'with', 'his', 'neighbour', 'as', 'he', 'hurries', 'after', 'wealth', '.']","['she', 'stirs', 'up', 'even', 'the', 'shiftless', 'to', 'toil', ';', 'for', 'a', 'man', 'grows', 'eager', 'to', 'work', 'when', 'he', 'considers', 'his', 'neighbour', ',', 'a', 'rich', 'man', 'who', 'hastens', 'to', 'plough', 'and', 'plant', 'and', 'put', 'his', 'house', 'in', 'good', 'order', ';', 'and', 'neighbour', 'vies', 'with', 'his', 'neighbour', 'as', 'he', 'hurries', 'after', 'wealth', '.']","['she', 'stirs', 'up', 'even', 'the', 'shiftless', 'to', 'toil', 'for', 'a', 'man', 'grows', 'eager', 'to', 'work', 'when', 'he', 'considers', 'his', 'neighbour', 'a', 'rich', 'man', 'who', 'hastens', 'to', 'plough', 'and', 'plant', 'and', 'put', 'his', 'house', 'in', 'good', 'order', 'and', 'neighbour', 'vies', 'with', 'his', 'neighbour', 'as', 'he', 'hurries', 'after', 'wealth']","['stirs', 'even', 'shiftless', 'toil', 'man', 'grows', 'eager', 'work', 'considers', 'neighbour', 'rich', 'man', 'hastens', 'plough', 'plant', 'put', 'house', 'good', 'order', 'neighbour', 'vies', 'neighbour', 'hurries', 'wealth']","[('stirs', 'NNS'), ('even', 'RB'), ('shiftless', 'JJ'), ('toil', 'NN'), ('man', 'NN'), ('grows', 'VBZ'), ('eager', 'JJ'), ('work', 'NN'), ('considers', 'NNS'), ('neighbour', 'VBP'), ('rich', 'JJ'), ('man', 'NN'), ('hastens', 'VBZ'), ('plough', 'JJ'), ('plant', 'NN'), ('put', 'VBN'), ('house', 'NN'), ('good', 'JJ'), ('order', 'NN'), ('neighbour', 'JJ'), ('vies', 'NNS'), ('neighbour', 'VBP'), ('hurries', 'NNS'), ('wealth', 'VBP')]"
12,"This
Strife is wholesome for men.",33,"['This', 'Strife', 'is', 'wholesome', 'for', 'men', '.']","['this', 'strife', 'is', 'wholesome', 'for', 'men', '.']","['this', 'strife', 'is', 'wholesome', 'for', 'men']","['strife', 'wholesome', 'men']","[('strife', 'JJ'), ('wholesome', 'JJ'), ('men', 'NNS')]"
13,"And potter is angry with potter, and
craftsman with craftsman, and beggar is jealous of beggar, and minstrel
of minstrel.",121,"['And', 'potter', 'is', 'angry', 'with', 'potter', ',', 'and', 'craftsman', 'with', 'craftsman', ',', 'and', 'beggar', 'is', 'jealous', 'of', 'beggar', ',', 'and', 'minstrel', 'of', 'minstrel', '.']","['and', 'potter', 'is', 'angry', 'with', 'potter', ',', 'and', 'craftsman', 'with', 'craftsman', ',', 'and', 'beggar', 'is', 'jealous', 'of', 'beggar', ',', 'and', 'minstrel', 'of', 'minstrel', '.']","['and', 'potter', 'is', 'angry', 'with', 'potter', 'and', 'craftsman', 'with', 'craftsman', 'and', 'beggar', 'is', 'jealous', 'of', 'beggar', 'and', 'minstrel', 'of', 'minstrel']","['potter', 'angry', 'potter', 'craftsman', 'craftsman', 'beggar', 'jealous', 'beggar', 'minstrel', 'minstrel']","[('potter', 'NN'), ('angry', 'JJ'), ('potter', 'NN'), ('craftsman', 'NN'), ('craftsman', 'NN'), ('beggar', 'VBP'), ('jealous', 'JJ'), ('beggar', 'NN'), ('minstrel', 'NN'), ('minstrel', 'NN')]"
14,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
15,"25-41) Perses, lay up these things in your heart, and do not let
that Strife who delights in mischief hold your heart back from work,
while you peep and peer and listen to the wrangles of the court-house.",204,"['25-41', ')', 'Perses', ',', 'lay', 'up', 'these', 'things', 'in', 'your', 'heart', ',', 'and', 'do', 'not', 'let', 'that', 'Strife', 'who', 'delights', 'in', 'mischief', 'hold', 'your', 'heart', 'back', 'from', 'work', ',', 'while', 'you', 'peep', 'and', 'peer', 'and', 'listen', 'to', 'the', 'wrangles', 'of', 'the', 'court-house', '.']","['25-41', ')', 'perses', ',', 'lay', 'up', 'these', 'things', 'in', 'your', 'heart', ',', 'and', 'do', 'not', 'let', 'that', 'strife', 'who', 'delights', 'in', 'mischief', 'hold', 'your', 'heart', 'back', 'from', 'work', ',', 'while', 'you', 'peep', 'and', 'peer', 'and', 'listen', 'to', 'the', 'wrangles', 'of', 'the', 'court-house', '.']","['25-41', 'perses', 'lay', 'up', 'these', 'things', 'in', 'your', 'heart', 'and', 'do', 'not', 'let', 'that', 'strife', 'who', 'delights', 'in', 'mischief', 'hold', 'your', 'heart', 'back', 'from', 'work', 'while', 'you', 'peep', 'and', 'peer', 'and', 'listen', 'to', 'the', 'wrangles', 'of', 'the', 'court-house']","['25-41', 'perses', 'lay', 'things', 'heart', 'let', 'strife', 'delights', 'mischief', 'hold', 'heart', 'back', 'work', 'peep', 'peer', 'listen', 'wrangles', 'court-house']","[('25-41', 'JJ'), ('perses', 'NNS'), ('lay', 'VBD'), ('things', 'NNS'), ('heart', 'NN'), ('let', 'VBP'), ('strife', 'VB'), ('delights', 'NNS'), ('mischief', 'JJ'), ('hold', 'JJ'), ('heart', 'NN'), ('back', 'RB'), ('work', 'NN'), ('peep', 'NN'), ('peer', 'NN'), ('listen', 'JJ'), ('wrangles', 'VBZ'), ('court-house', 'NN')]"
16,"Little concern has he with quarrels and courts who has not a year’s
victuals laid up betimes, even that which the earth bears, Demeter’s
grain.",143,"['Little', 'concern', 'has', 'he', 'with', 'quarrels', 'and', 'courts', 'who', 'has', 'not', 'a', 'year', '’', 's', 'victuals', 'laid', 'up', 'betimes', ',', 'even', 'that', 'which', 'the', 'earth', 'bears', ',', 'Demeter', '’', 's', 'grain', '.']","['little', 'concern', 'has', 'he', 'with', 'quarrels', 'and', 'courts', 'who', 'has', 'not', 'a', 'year', '’', 's', 'victuals', 'laid', 'up', 'betimes', ',', 'even', 'that', 'which', 'the', 'earth', 'bears', ',', 'demeter', '’', 's', 'grain', '.']","['little', 'concern', 'has', 'he', 'with', 'quarrels', 'and', 'courts', 'who', 'has', 'not', 'a', 'year', '’', 's', 'victuals', 'laid', 'up', 'betimes', 'even', 'that', 'which', 'the', 'earth', 'bears', 'demeter', '’', 's', 'grain']","['little', 'concern', 'quarrels', 'courts', 'year', '’', 'victuals', 'laid', 'betimes', 'even', 'earth', 'bears', 'demeter', '’', 'grain']","[('little', 'JJ'), ('concern', 'NN'), ('quarrels', 'NNS'), ('courts', 'NNS'), ('year', 'NN'), ('’', 'VBP'), ('victuals', 'NNS'), ('laid', 'VBN'), ('betimes', 'RB'), ('even', 'RB'), ('earth', 'JJ'), ('bears', 'NNS'), ('demeter', 'VBP'), ('’', 'CD'), ('grain', 'NN')]"
17,"When you have got plenty of that, you can raise disputes and
strive to get another’s goods.",91,"['When', 'you', 'have', 'got', 'plenty', 'of', 'that', ',', 'you', 'can', 'raise', 'disputes', 'and', 'strive', 'to', 'get', 'another', '’', 's', 'goods', '.']","['when', 'you', 'have', 'got', 'plenty', 'of', 'that', ',', 'you', 'can', 'raise', 'disputes', 'and', 'strive', 'to', 'get', 'another', '’', 's', 'goods', '.']","['when', 'you', 'have', 'got', 'plenty', 'of', 'that', 'you', 'can', 'raise', 'disputes', 'and', 'strive', 'to', 'get', 'another', '’', 's', 'goods']","['got', 'plenty', 'raise', 'disputes', 'strive', 'get', 'another', '’', 'goods']","[('got', 'VBD'), ('plenty', 'JJ'), ('raise', 'NN'), ('disputes', 'NNS'), ('strive', 'JJ'), ('get', 'VBP'), ('another', 'DT'), ('’', 'NN'), ('goods', 'NNS')]"
18,"But you shall have no second chance to
deal so again: nay, let us settle our dispute here with true judgement
divided our inheritance, but you seized the greater share and carried
it off, greatly swelling the glory of our bribe-swallowing lords who
love to judge such a cause as this.",284,"['But', 'you', 'shall', 'have', 'no', 'second', 'chance', 'to', 'deal', 'so', 'again', ':', 'nay', ',', 'let', 'us', 'settle', 'our', 'dispute', 'here', 'with', 'true', 'judgement', 'divided', 'our', 'inheritance', ',', 'but', 'you', 'seized', 'the', 'greater', 'share', 'and', 'carried', 'it', 'off', ',', 'greatly', 'swelling', 'the', 'glory', 'of', 'our', 'bribe-swallowing', 'lords', 'who', 'love', 'to', 'judge', 'such', 'a', 'cause', 'as', 'this', '.']","['but', 'you', 'shall', 'have', 'no', 'second', 'chance', 'to', 'deal', 'so', 'again', ':', 'nay', ',', 'let', 'us', 'settle', 'our', 'dispute', 'here', 'with', 'true', 'judgement', 'divided', 'our', 'inheritance', ',', 'but', 'you', 'seized', 'the', 'greater', 'share', 'and', 'carried', 'it', 'off', ',', 'greatly', 'swelling', 'the', 'glory', 'of', 'our', 'bribe-swallowing', 'lords', 'who', 'love', 'to', 'judge', 'such', 'a', 'cause', 'as', 'this', '.']","['but', 'you', 'shall', 'have', 'no', 'second', 'chance', 'to', 'deal', 'so', 'again', 'nay', 'let', 'us', 'settle', 'our', 'dispute', 'here', 'with', 'true', 'judgement', 'divided', 'our', 'inheritance', 'but', 'you', 'seized', 'the', 'greater', 'share', 'and', 'carried', 'it', 'off', 'greatly', 'swelling', 'the', 'glory', 'of', 'our', 'bribe-swallowing', 'lords', 'who', 'love', 'to', 'judge', 'such', 'a', 'cause', 'as', 'this']","['shall', 'second', 'chance', 'deal', 'nay', 'let', 'us', 'settle', 'dispute', 'true', 'judgement', 'divided', 'inheritance', 'seized', 'greater', 'share', 'carried', 'greatly', 'swelling', 'glory', 'bribe-swallowing', 'lords', 'love', 'judge', 'cause']","[('shall', 'MD'), ('second', 'JJ'), ('chance', 'NN'), ('deal', 'NN'), ('nay', 'JJ'), ('let', 'VB'), ('us', 'PRP'), ('settle', 'VB'), ('dispute', 'NN'), ('true', 'JJ'), ('judgement', 'NN'), ('divided', 'VBD'), ('inheritance', 'NN'), ('seized', 'VBN'), ('greater', 'JJR'), ('share', 'NN'), ('carried', 'VBN'), ('greatly', 'RB'), ('swelling', 'VBG'), ('glory', 'NN'), ('bribe-swallowing', 'JJ'), ('lords', 'NNS'), ('love', 'VBP'), ('judge', 'NN'), ('cause', 'NN')]"
19,Fools!,6,"['Fools', '!']","['fools', '!']",['fools'],['fools'],"[('fools', 'NNS')]"
20,"They know not how much more
the half is than the whole, nor what great advantage there is in mallow
and asphodel 1301.",118,"['They', 'know', 'not', 'how', 'much', 'more', 'the', 'half', 'is', 'than', 'the', 'whole', ',', 'nor', 'what', 'great', 'advantage', 'there', 'is', 'in', 'mallow', 'and', 'asphodel', '1301', '.']","['they', 'know', 'not', 'how', 'much', 'more', 'the', 'half', 'is', 'than', 'the', 'whole', ',', 'nor', 'what', 'great', 'advantage', 'there', 'is', 'in', 'mallow', 'and', 'asphodel', '1301', '.']","['they', 'know', 'not', 'how', 'much', 'more', 'the', 'half', 'is', 'than', 'the', 'whole', 'nor', 'what', 'great', 'advantage', 'there', 'is', 'in', 'mallow', 'and', 'asphodel', '1301']","['know', 'much', 'half', 'whole', 'great', 'advantage', 'mallow', 'asphodel', '1301']","[('know', 'RB'), ('much', 'JJ'), ('half', 'NN'), ('whole', 'JJ'), ('great', 'JJ'), ('advantage', 'NN'), ('mallow', 'NN'), ('asphodel', 'NN'), ('1301', 'CD')]"
21,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
22,42-53) For the gods keep hidden from men the means of life.,59,"['42-53', ')', 'For', 'the', 'gods', 'keep', 'hidden', 'from', 'men', 'the', 'means', 'of', 'life', '.']","['42-53', ')', 'for', 'the', 'gods', 'keep', 'hidden', 'from', 'men', 'the', 'means', 'of', 'life', '.']","['42-53', 'for', 'the', 'gods', 'keep', 'hidden', 'from', 'men', 'the', 'means', 'of', 'life']","['42-53', 'gods', 'keep', 'hidden', 'men', 'means', 'life']","[('42-53', 'JJ'), ('gods', 'NNS'), ('keep', 'VB'), ('hidden', 'JJ'), ('men', 'NNS'), ('means', 'VBZ'), ('life', 'NN')]"
23,"Else
you would easily do work enough in a day to supply you for a full year
even without working; soon would you put away your rudder over the
smoke, and the fields worked by ox and sturdy mule would run to waste.",213,"['Else', 'you', 'would', 'easily', 'do', 'work', 'enough', 'in', 'a', 'day', 'to', 'supply', 'you', 'for', 'a', 'full', 'year', 'even', 'without', 'working', ';', 'soon', 'would', 'you', 'put', 'away', 'your', 'rudder', 'over', 'the', 'smoke', ',', 'and', 'the', 'fields', 'worked', 'by', 'ox', 'and', 'sturdy', 'mule', 'would', 'run', 'to', 'waste', '.']","['else', 'you', 'would', 'easily', 'do', 'work', 'enough', 'in', 'a', 'day', 'to', 'supply', 'you', 'for', 'a', 'full', 'year', 'even', 'without', 'working', ';', 'soon', 'would', 'you', 'put', 'away', 'your', 'rudder', 'over', 'the', 'smoke', ',', 'and', 'the', 'fields', 'worked', 'by', 'ox', 'and', 'sturdy', 'mule', 'would', 'run', 'to', 'waste', '.']","['else', 'you', 'would', 'easily', 'do', 'work', 'enough', 'in', 'a', 'day', 'to', 'supply', 'you', 'for', 'a', 'full', 'year', 'even', 'without', 'working', 'soon', 'would', 'you', 'put', 'away', 'your', 'rudder', 'over', 'the', 'smoke', 'and', 'the', 'fields', 'worked', 'by', 'ox', 'and', 'sturdy', 'mule', 'would', 'run', 'to', 'waste']","['else', 'would', 'easily', 'work', 'enough', 'day', 'supply', 'full', 'year', 'even', 'without', 'working', 'soon', 'would', 'put', 'away', 'rudder', 'smoke', 'fields', 'worked', 'ox', 'sturdy', 'mule', 'would', 'run', 'waste']","[('else', 'RB'), ('would', 'MD'), ('easily', 'RB'), ('work', 'VB'), ('enough', 'RB'), ('day', 'NN'), ('supply', 'VB'), ('full', 'JJ'), ('year', 'NN'), ('even', 'RB'), ('without', 'IN'), ('working', 'VBG'), ('soon', 'RB'), ('would', 'MD'), ('put', 'VB'), ('away', 'RP'), ('rudder', 'JJR'), ('smoke', 'NN'), ('fields', 'NNS'), ('worked', 'VBD'), ('ox', 'RP'), ('sturdy', 'JJ'), ('mule', 'NN'), ('would', 'MD'), ('run', 'VB'), ('waste', 'NN')]"
24,"But Zeus in the anger of his heart hid it, because Prometheus the
crafty deceived him; therefore he planned sorrow and mischief against
men.",140,"['But', 'Zeus', 'in', 'the', 'anger', 'of', 'his', 'heart', 'hid', 'it', ',', 'because', 'Prometheus', 'the', 'crafty', 'deceived', 'him', ';', 'therefore', 'he', 'planned', 'sorrow', 'and', 'mischief', 'against', 'men', '.']","['but', 'zeus', 'in', 'the', 'anger', 'of', 'his', 'heart', 'hid', 'it', ',', 'because', 'prometheus', 'the', 'crafty', 'deceived', 'him', ';', 'therefore', 'he', 'planned', 'sorrow', 'and', 'mischief', 'against', 'men', '.']","['but', 'zeus', 'in', 'the', 'anger', 'of', 'his', 'heart', 'hid', 'it', 'because', 'prometheus', 'the', 'crafty', 'deceived', 'him', 'therefore', 'he', 'planned', 'sorrow', 'and', 'mischief', 'against', 'men']","['zeus', 'anger', 'heart', 'hid', 'prometheus', 'crafty', 'deceived', 'therefore', 'planned', 'sorrow', 'mischief', 'men']","[('zeus', 'NN'), ('anger', 'NN'), ('heart', 'NN'), ('hid', 'NN'), ('prometheus', 'NN'), ('crafty', 'NN'), ('deceived', 'VBD'), ('therefore', 'RB'), ('planned', 'VBN'), ('sorrow', 'NN'), ('mischief', 'NN'), ('men', 'NNS')]"
